n_experiment,pattern,length,n_rows,n_cols,rank,condnumber,sparsity,isdiag,issymmetric,ishermitian,isposdef,istriu,istril,algorithm,cast_time,calc_time,error
2,baart,256,16,16,11,7.845959254207523e16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.958e-6,1.2495459777988548e-17
2,baart,65536,256,256,11,9.213478368459455e18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,0.000424625,1.3159222401732061e-17
2,baart,256,16,16,11,7.845959254207523e16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.958e-6,1.2495459777988548e-17
2,binomial,256,16,16,16,4739.528197796848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.125e-6,1.122062291037993e-19
3,binomial,16,4,4,4,2.618033988749895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,3.0e-6,2.6175084968722123e-17
3,blur,256,16,16,16,13.701906206478105,0.234375,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,2.75e-6,4.417e-6,3.0398006895221475e-17
1,blur,65536,256,256,256,29.029964945542645,0.91644287109375,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,3.1041e-5,0.000343417,8.1626327834683e-18
3,blur,256,16,16,16,13.701906206478105,0.234375,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,2.75e-6,4.417e-6,3.0398006895221475e-17
3,cauchy,256,16,16,12,3.196017967132064e17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,4.0e-6,1.3428604484220378e-17
3,cauchy,65536,256,256,20,1.897176745769803e20,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,0.000363583,4.8083846107373245e-18
3,cauchy,256,16,16,12,3.196017967132064e17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,4.0e-6,1.3428604484220378e-17
3,chebspec,256,16,16,15,8.066789116914289e15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,3.917e-6,3.217091680277219e-17
2,chebspec,65536,256,256,255,3.3964976940053894e14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,0.000334042,4.039588629353205e-18
3,chebspec,256,16,16,15,8.066789116914289e15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,3.917e-6,3.217091680277219e-17
2,circul,256,16,16,16,16.999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.125e-6,4.1493599120247745e-17
2,circul,65536,256,256,256,256.99999999999955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,0.000341916,1.876942973846599e-17
2,circul,256,16,16,16,16.999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.125e-6,4.1493599120247745e-17
1,companion,256,16,16,16,1496.9993319970483,0.87890625,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,5.041e-6,1.1579480385681508e-18
3,companion,65536,256,256,256,5.625217000001259e6,0.9922027587890625,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.0,1.5625e-5,3.467310429316881e-20
1,companion,256,16,16,16,1496.9993319970483,0.87890625,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,5.041e-6,1.1579480385681508e-18
3,deriv2,256,16,16,16,310.26060675945143,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,4.292e-6,1.0579543934129054e-17
3,deriv2,65536,256,256,256,79681.22110174366,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,0.000345208,1.0356980153012648e-17
3,deriv2,256,16,16,16,310.26060675945143,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,4.292e-6,1.0579543934129054e-17
2,dingdong,256,16,16,16,2.597041432373485,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,3.75e-6,4.498113587669071e-17
2,dingdong,65536,256,256,256,3.6884666368943666,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,0.000341833,2.599055839011324e-17
2,dingdong,256,16,16,16,2.597041432373485,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,3.75e-6,4.498113587669071e-17
2,erdrey,256,16,16,16,21.584945366189615,0.8203125,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,1.959e-6,4.5e-6,1.2283763059989791e-17
1,erdrey,65536,256,256,256,571.9865524113811,0.97833251953125,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,2.9e-5,0.0003605,8.877886458667726e-17
2,erdrey,256,16,16,16,21.584945366189615,0.8203125,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,1.959e-6,4.5e-6,1.2283763059989791e-17
2,fiedler,256,16,16,16,175.37549663067028,0.0625,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,3.291e-6,1.3079509704019749e-17
3,fiedler,65536,256,256,256,45532.98575491217,0.00390625,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,0.000333708,1.3501337406742525e-17
2,fiedler,256,16,16,16,175.37549663067028,0.0625,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,3.291e-6,1.3079509704019749e-17
3,forsythe,256,16,16,16,6.7108864e7,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.416e-6,0.0
3,forsythe,65536,256,256,256,6.7108864e7,0.99609375,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.0,1.2041e-5,0.0
3,forsythe,256,16,16,16,6.7108864e7,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.416e-6,0.0
3,foxgood,256,16,16,14,7.681935762674974e16,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,4.084e-6,2.481233669711548e-17
3,foxgood,65536,256,256,26,7.189129992476877e20,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,0.000363292,5.827188114492589e-18
3,foxgood,256,16,16,14,7.681935762674974e16,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,4.084e-6,2.481233669711548e-17
2,frank,256,16,16,16,2.3048660109097006e14,0.41015625,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.084e-6,1.4834105949243438e-18
3,frank,65536,256,256,255,1.342518513304239e19,0.4941558837890625,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,0.000342583,2.352355779183168e-20
2,frank,256,16,16,16,2.3048660109097006e14,0.41015625,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.084e-6,1.4834105949243438e-18
3,gilbert,65536,256,256,256,1343.4054702829349,0.9786376953125,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,3.3833e-5,0.000422583,9.557851210450217e-17
3,gilbert,65536,256,256,256,1343.4054702829349,0.9786376953125,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,3.3833e-5,0.000422583,9.557851210450217e-17
1,golub,256,16,16,15,3.5775695447479744e17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.75e-6,1.4339438077480119e-18
2,golub,65536,256,256,246,5.302716654306062e17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,0.00041125,4.221497915465618e-19
1,golub,256,16,16,15,3.5775695447479744e17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.75e-6,1.4339438077480119e-18
3,gravity,256,16,16,16,18403.730755697383,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,5.833e-6,1.7151710317138313e-17
2,gravity,65536,256,256,46,7.531369980549001e18,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,0.000356625,1.0488513614442942e-17
3,gravity,256,16,16,16,18403.730755697383,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,5.833e-6,1.7151710317138313e-17
1,grcar,256,16,16,16,3.1112656825001848,0.71484375,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.417e-6,5.0069028390921864e-17
1,grcar,65536,256,256,256,3.621452294223987,0.9805755615234375,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.0,4.8375e-5,9.601764639148402e-18
1,grcar,256,16,16,16,3.1112656825001848,0.71484375,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.417e-6,5.0069028390921864e-17
3,hadamard,256,16,16,16,1.0000000000000004,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,4.083e-6,4.389232310040667e-17
1,hadamard,65536,256,256,256,1.0000000000000024,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,0.000339208,1.1147675865524487e-16
3,hadamard,256,16,16,16,1.0000000000000004,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,4.083e-6,4.389232310040667e-17
1,hankel,256,16,16,16,19.148925053222918,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,4.458e-6,5.1299483756563603e-17
1,hankel,65536,256,256,256,259.0092127378456,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,0.000349625,3.951935539642597e-17
1,hankel,256,16,16,16,19.148925053222918,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,4.458e-6,5.1299483756563603e-17
2,heat,256,16,16,15,5.744970531987984e18,0.46875,0.0,0.0,0.0,0.0,0.0,1.0,dgetrf,0.0,6.709e-6,3.7045950401121177e-19
1,heat,65536,256,256,250,2.629576174144978e71,0.498046875,0.0,0.0,0.0,0.0,0.0,1.0,umfpack,0.0001025,0.000253,NaN
2,heat,256,16,16,15,5.744970531987984e18,0.46875,0.0,0.0,0.0,0.0,0.0,1.0,dgetrf,0.0,6.709e-6,3.7045950401121177e-19
1,hilb,256,16,16,12,6.019326309924319e17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,4.375e-6,1.0268382172180136e-17
3,hilb,65536,256,256,20,4.1624737280483774e20,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,0.000452458,3.964151200463073e-18
1,hilb,256,16,16,12,6.019326309924319e17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,4.375e-6,1.0268382172180136e-17
1,invol,256,16,16,10,3.0033650504172237e19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,5.75e-6,9.275876780050168e-19
1,invol,65536,256,256,6,2.890614392091776e59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,0.000400083,3.4512611370917855e-19
1,invol,256,16,16,10,3.0033650504172237e19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,5.75e-6,9.275876780050168e-19
2,kahan,256,16,16,16,419.7869817397411,0.46875,0.0,0.0,0.0,0.0,1.0,0.0,dgetrf,0.0,6.0e-6,9.370343680117523e-18
2,kahan,65536,256,256,255,1.0522906218544412e26,0.498046875,0.0,0.0,0.0,0.0,1.0,0.0,klu,0.0,0.000165167,7.812293094054941e-18
2,kahan,256,16,16,16,419.7869817397411,0.46875,0.0,0.0,0.0,0.0,1.0,0.0,dgetrf,0.0,6.0e-6,9.370343680117523e-18
3,kms,256,16,16,16,8.462012849559207,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,4.667e-6,4.4023084112950106e-17
1,kms,65536,256,256,256,8.99705215026586,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,0.000401291,2.1529839499932604e-17
3,kms,256,16,16,16,8.462012849559207,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,4.667e-6,4.4023084112950106e-17
2,lehmer,256,16,16,16,233.25528511015742,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,3.875e-6,1.970474100921363e-17
3,lehmer,65536,256,256,256,69102.73118940718,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,0.000337792,1.0053808576394805e-17
2,lehmer,256,16,16,16,233.25528511015742,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,3.875e-6,1.970474100921363e-17
1,lotkin,256,16,16,12,6.191880984524667e17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.667e-6,1.2184407604089089e-17
2,lotkin,65536,256,256,19,4.892639371087678e20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,0.000354833,2.9701257046101567e-18
1,lotkin,256,16,16,12,6.191880984524667e17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.667e-6,1.2184407604089089e-17
1,magic,256,16,16,3,1.649301932191887e19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,6.792e-6,1.9110727008561142e-17
2,magic,65536,256,256,3,1.7003277660358371e19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,0.000358417,4.633458702195876e-18
1,magic,256,16,16,3,1.649301932191887e19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,6.792e-6,1.9110727008561142e-17
2,minij,256,16,16,16,437.69761653851185,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,3.583e-6,2.838445163112688e-18
2,minij,65536,256,256,256,106654.7116833422,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,0.000342042,1.862859826405e-18
2,minij,256,16,16,16,437.69761653851185,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,3.583e-6,2.838445163112688e-18
2,moler,256,16,16,16,4.172334681524535e10,0.109375,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,4.333e-6,3.999345665354761e-18
2,moler,65536,256,256,255,9.995601423281524e15,0.00775146484375,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,0.000337167,1.3856891712290644e-20
2,moler,256,16,16,16,4.172334681524535e10,0.109375,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,4.333e-6,3.999345665354761e-18
2,oscillate,256,16,16,16,6.710886408825664e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.875e-6,1.0234979788903478e-17
2,oscillate,65536,256,256,256,6.710886459988333e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,0.000340209,5.453767923351412e-18
2,oscillate,256,16,16,16,6.710886408825664e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.875e-6,1.0234979788903478e-17
1,parter,256,16,16,16,2.597041432373486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.292e-6,3.236287769946583e-17
1,parter,65536,256,256,256,3.6884666368943746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,0.000342917,2.4844136991807615e-17
1,parter,256,16,16,16,2.597041432373486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.292e-6,3.236287769946583e-17
2,pascal,256,16,16,14,4.244685974352883e16,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,4.0e-6,6.964129679832501e-19
2,pascal,65536,256,256,6,3.8352995414338934e177,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,0.0003685,9.941887778376496e-152
2,pascal,256,16,16,14,4.244685974352883e16,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,4.0e-6,6.964129679832501e-19
3,pei,256,16,16,16,17.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,4.25e-6,2.3581896932639928e-17
1,pei,65536,256,256,256,257.0000000004094,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,0.000344125,1.4921937377915393e-17
3,pei,256,16,16,16,17.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.0,4.25e-6,2.3581896932639928e-17
