n_experiment,pattern,length,n_rows,n_cols,rank,cond,sparsity,isdiag,issymmetric,ishermitian,isposdef,istriu,istril,algorithm,time,error
1,baart,256,16,16,11,9.779587923090666e16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.006084894,5.773159728050814e-15
1,baart,65536,256,256,11,1.458182699375801e18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,splu,0.004695744,4.591882429849647e-13
1,baart,16777216,4096,4096,14,4.623619015357255e19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.220638843,2.5653257296198717e-11
1,binomial,256,16,16,16,4739.528197796829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,1.989e-5,3.3397062892959184e-11
1,blur,256,16,16,16,13.70190620647811,0.234375,0.0,1.0,1.0,1.0,0.0,0.0,splu,5.325e-5,1.2212453270876722e-15
1,blur,65536,256,256,256,29.029964945542606,0.91644287109375,0.0,1.0,1.0,1.0,0.0,0.0,klu,0.001160442,3.952393967665557e-14
1,blur,16777216,4096,4096,4096,31.28054875136924,0.9941232204437256,0.0,1.0,1.0,1.0,0.0,0.0,klu,0.060740843,8.925082894961633e-13
1,cauchy,256,16,16,12,3.0845770648757574e17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,3.0409e-5,1.4432899320127035e-15
1,cauchy,65536,256,256,20,2.508622330852856e20,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.004049789,9.048206628392563e-12
1,cauchy,16777216,4096,4096,26,2.0376916574637128e22,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.23137979,4.714955093021445e-10
1,chebspec,256,16,16,15,8.356022161877951e15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,1.8339e-5,7.288614156664153e-14
1,chebspec,65536,256,256,255,3.38348296262316e14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,splu,0.004260977,6.248540573849937e-11
1,chebspec,16777216,4096,4096,4095,2.381941597255335e13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.207675022,9.41116964081612e-8
1,circul,256,16,16,16,17.000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,1.452e-5,2.8421709430404007e-13
1,circul,65536,256,256,256,256.99999999999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,splu,0.004315087,3.5288394428789616e-9
1,circul,16777216,4096,4096,4096,4097.000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.487227232,5.311146378517151e-5
1,companion,256,16,16,16,1496.9993319970492,0.87890625,0.0,0.0,0.0,0.0,0.0,0.0,klu,2.274e-5,0.0
1,companion,65536,256,256,256,5.625216999996981e6,0.9922027587890625,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.000159228,1.0587086762825493e-12
1,companion,16777216,4096,4096,4096,2.2914881543072613e10,0.9995117783546448,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.030569745,3.5621638971861103e-10
1,deriv2,256,16,16,16,310.26060675945075,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,4.311e-5,1.231653667943533e-16
1,deriv2,65536,256,256,256,79681.22110174125,0.0,0.0,1.0,1.0,0.0,0.0,0.0,splu,0.004261107,7.13101452887166e-15
1,deriv2,16777216,4096,4096,4096,2.0398647599968016e7,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.22746895,5.674932298713707e-13
1,dingdong,256,16,16,16,2.5970414323734836,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,3.102e-5,2.2898349882893854e-15
1,dingdong,65536,256,256,256,3.6884666368943715,0.0,0.0,1.0,1.0,0.0,0.0,0.0,splu,0.004676265,1.4003034842779982e-13
1,dingdong,16777216,4096,4096,4096,4.7939372620180665,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.220826602,1.4828583456624744e-11
1,fiedler,256,16,16,16,175.37549663067023,0.0625,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,1.483e-5,1.4210854715202004e-13
1,fiedler,65536,256,256,256,45532.985754912974,0.00390625,0.0,1.0,1.0,0.0,0.0,0.0,splu,0.003592512,2.9085640562698245e-9
1,fiedler,16777216,4096,4096,4096,1.1657084628368402e7,0.000244140625,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.222405769,4.0572602301836014e-5
1,forsythe,256,16,16,16,6.7108864e7,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,klu,2.255e-5,0.0
1,forsythe,65536,256,256,256,6.7108864e7,0.99609375,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.000139989,0.0
1,forsythe,16777216,4096,4096,4096,6.7108864e7,0.999755859375,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.029999519,0.0
1,foxgood,256,16,16,14,7.400837143868666e16,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,2.42e-5,1.9984014443252818e-15
1,foxgood,65536,256,256,26,3.031564451260052e19,0.0,0.0,1.0,1.0,0.0,0.0,0.0,splu,0.004430576,1.201816424156732e-12
1,foxgood,16777216,4096,4096,31,1.642139634396655e22,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.532185686,5.693908677883996e-10
1,frank,256,16,16,16,2.3070609671476466e14,0.41015625,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,2.077e-5,1.7763568394002505e-15
1,frank,65536,256,256,255,2.4287185848103603e18,0.4941558837890625,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.002154224,1.5109777450561523e-5
1,frank,16777216,4096,4096,4095,6.618182392997065e19,0.4996338486671448,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.347350898,3.99790748e9
1,golub,256,16,16,15,2.4323595452054477e17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,1.231e-5,6.178169087434071e-11
1,golub,65536,256,256,246,1.4123784285334945e18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,splu,0.004263987,1.042513986249105e-8
1,golub,16777216,4096,4096,3929,3.6618834211317914e18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.212747763,0.00016034088844207872
1,gravity,256,16,16,16,18403.73075569562,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,2.522e-5,1.2434497875801753e-14
1,gravity,65536,256,256,46,3.4320442554713354e19,0.0,0.0,1.0,1.0,0.0,0.0,0.0,splu,0.004339737,1.5116796703296131e-12
1,gravity,16777216,4096,4096,42,3.098274729596803e21,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.237963869,6.218976444927193e-10
1,grcar,256,16,16,16,3.111265682500184,0.71484375,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,2.453e-5,4.440892098500626e-15
1,grcar,65536,256,256,256,3.6214522942239875,0.9805755615234375,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.000279867,2.4868995751603507e-14
1,grcar,16777216,4096,4096,4096,3.62771501842049,0.9987797141075134,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.026907533,3.090860900556436e-13
1,hadamard,256,16,16,16,1.0000000000000007,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,2.09e-5,0.0
1,hadamard,65536,256,256,256,1.0000000000000024,0.0,0.0,1.0,1.0,0.0,0.0,0.0,splu,0.00399794,0.0
1,hadamard,16777216,4096,4096,4096,1.000000000000034,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.306274344,0.0
1,hankel,256,16,16,16,19.14892505322292,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,2.075e-5,1.9895196601282805e-13
1,hankel,65536,256,256,256,259.00921273784587,0.0,0.0,1.0,1.0,0.0,0.0,0.0,splu,0.004327527,1.7389538697898388e-9
1,hankel,16777216,4096,4096,4096,4099.000575668276,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.243676284,5.4163858294487e-5
1,heat,256,16,16,15,4.4371055017648886e18,0.46875,0.0,0.0,0.0,0.0,0.0,1.0,dgetrf,2.101e-5,2.9774863130604956e-12
1,heat,65536,256,256,250,3.0748558630867957e72,0.498046875,0.0,0.0,0.0,0.0,0.0,1.0,klu,0.000966653,NaN
1,hilb,256,16,16,12,4.069512794757315e17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,1.149e-5,1.9984014443252818e-15
1,hilb,65536,256,256,20,5.346923398615569e20,0.0,0.0,1.0,1.0,0.0,0.0,0.0,splu,0.004190348,4.704014955336788e-13
1,hilb,16777216,4096,4096,27,4.471256316332622e21,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.483157542,5.222904331247946e-10
1,invhilb,256,16,16,14,3.2265887835793734e17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,1.93e-5,60833.68309593201
1,invol,256,16,16,10,1.9567338030444577e19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,1.5569e-5,0.00039989153447450576
1,invol,65536,256,256,6,3.557689279802562e59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,splu,0.004172248,1.1749849774836855e183
1,kahan,256,16,16,16,419.7869817397407,0.46875,0.0,0.0,0.0,0.0,1.0,0.0,dgetrf,1.263e-5,1.887379141862766e-15
1,kahan,65536,256,256,255,1.231989918002108e27,0.498046875,0.0,0.0,0.0,0.0,1.0,0.0,klu,0.000596466,92.09015556293964
1,kahan,16777216,4096,4096,346,1.6919994655862425e30,0.4998779296875,0.0,0.0,0.0,0.0,1.0,0.0,dgetrf,0.198528852,4.044431649475567e16
1,kms,256,16,16,16,8.462012849559203,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,3.6809e-5,0.0
1,kms,65536,256,256,256,8.997052150265862,0.0,0.0,1.0,1.0,1.0,0.0,0.0,splu,0.00397384,2.1316282072803006e-14
1,kms,16777216,4096,4096,4096,8.99998825021467,0.5441583395004272,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.235516218,1.48947520983711e-12
1,lehmer,256,16,16,16,233.2552851101579,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,1.883e-5,1.9539925233402755e-14
1,lehmer,65536,256,256,256,69102.73118940914,0.0,0.0,1.0,1.0,1.0,0.0,0.0,splu,0.003826618,1.2639667090752482e-11
1,lehmer,16777216,4096,4096,4096,1.8182714054914344e7,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.237169374,1.5257288765724297e-8
1,lotkin,256,16,16,12,5.876932052747695e17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,1.822e-5,6.328271240363392e-15
1,lotkin,65536,256,256,19,6.558977083755619e20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,splu,0.004392313,7.546374636291375e-11
1,lotkin,16777216,4096,4096,24,2.1448067126234996e23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.230606494,4.048972046533095e-9
1,magic,16777216,4096,4096,3,1.556972600440939e25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.237352751,7.184098288131082e59
1,minij,256,16,16,16,437.6976165385115,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,2.98e-5,0.0
1,minij,65536,256,256,256,106654.7116833443,0.0,0.0,1.0,1.0,1.0,0.0,0.0,splu,0.003736749,0.0
1,minij,16777216,4096,4096,4096,2.7204835057208624e7,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.239426877,0.0
1,moler,256,16,16,16,4.172336710026503e10,0.109375,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,1.813e-5,0.0
1,moler,65536,256,256,255,1.5910154808444458e16,0.00775146484375,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.006776534,0.0
1,moler,16777216,4096,4096,4095,8.246641436353315e15,0.00048804283142089844,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.223308595,0.0
1,oscillate,256,16,16,16,6.7108863749287456e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,1.848e-5,2.525757381022231e-15
1,oscillate,65536,256,256,256,6.710886267171627e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,splu,0.004191656,5.939693181744587e-14
1,oscillate,16777216,4096,4096,4096,6.7108862330718815e7,0.437744140625,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.226593821,2.4659718711461664e-12
1,parter,256,16,16,16,2.597041432373485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,2.751e-5,4.579669976578771e-15
1,parter,65536,256,256,256,3.6884666368943733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,splu,0.004320085,2.8006069685559964e-13
1,parter,16777216,4096,4096,4096,4.793937262018117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.206582644,2.955669129584004e-11
1,pascal,256,16,16,14,4.248621656451621e16,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,3.3819e-5,1.0138063544218312e-7
1,pascal,65536,256,256,6,2.553727253458521e176,0.0,0.0,1.0,1.0,0.0,0.0,0.0,splu,0.004584383,7.698575245676624e139
1,pei,256,16,16,16,17.000000000000004,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,4.328e-5,0.0
1,pei,65536,256,256,256,257.0000000001814,0.0,0.0,1.0,1.0,1.0,0.0,0.0,splu,0.003996949,1.6370904631912708e-11
1,pei,16777216,4096,4096,4096,4097.000001715043,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.229679201,9.815084922593087e-8
1,phillips,256,16,16,16,1472.1410834752824,0.515625,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,1.682e-5,8.881784197001252e-15
1,phillips,65536,256,256,256,1.1354150891653128e8,0.5595703125,0.0,1.0,1.0,0.0,0.0,0.0,splu,0.003001956,5.724309914967307e-13
1,phillips,16777216,4096,4096,4089,3.3555270684659043e12,0.56231689453125,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.233395363,3.877831389331732e-11
1,poisson,256,16,16,16,9.472135954999581,0.75,0.0,1.0,1.0,1.0,0.0,0.0,klu,4.039e-5,3.3306690738754696e-15
1,poisson,65536,256,256,256,116.46119157748798,0.9814453125,0.0,1.0,1.0,1.0,0.0,0.0,klu,0.000382057,1.0513812043200232e-13
1,poisson,16777216,4096,4096,4096,1711.6613758258454,0.9987945556640625,0.0,1.0,1.0,1.0,0.0,0.0,klu,0.007641919,1.7857937351095643e-12
1,prolate,256,16,16,16,110.96946936728527,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,2.272e-5,1.2212453270876722e-14
1,prolate,65536,256,256,256,26801.36056996144,0.0,0.0,1.0,1.0,0.0,0.0,0.0,splu,0.004010318,4.793676566805516e-11
1,prolate,16777216,4096,4096,4096,6.794548190075961e6,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.245769345,6.154232323751785e-8
1,randcorr,256,16,16,16,422.4278108114566,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,2.325e-5,4.218847493575595e-15
1,randcorr,65536,256,256,256,1539.5639221720048,0.0,0.0,1.0,1.0,1.0,0.0,0.0,splu,0.00379122,1.484992684375186e-13
1,randcorr,16777216,4096,4096,4096,2618.8262232871184,0.0,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.241206391,1.4085080324299781e-11
1,rando,256,16,16,16,223.9031018320182,0.5,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,1.921e-5,1.4210854715202004e-14
1,rando,65536,256,256,256,6282.538183779294,0.502593994140625,0.0,0.0,0.0,0.0,0.0,0.0,splu,0.004435955,3.8753000808355864e-11
1,rando,16777216,4096,4096,4096,239240.16204004516,0.4998878240585327,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.255824845,4.151888788328506e-8
1,randsvd,256,16,16,16,6.710886385875717e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,2.109e-5,9.575673587391975e-16
1,randsvd,65536,256,256,256,6.710886401644151e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,splu,0.00374968,4.390211067947791e-14
1,randsvd,16777216,4096,4096,4096,6.7108864025672e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.222079523,1.884229404447435e-11
1,rohess,256,16,16,16,1.0000000000000007,0.41015625,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,3.8689e-5,1.6653345369377348e-15
1,rohess,65536,256,256,256,1.0000000000000036,0.4941558837890625,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.002052964,2.967001644371692e-13
1,rohess,16777216,4096,4096,4096,1.0000000000000144,0.7753418684005737,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.207699376,1.2132147500162893e-12
1,rosser,256,16,16,14,1.0076399538881472e17,0.125,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,2.346e-5,2.091837814077735e-11
1,rosser,65536,256,256,224,1.4120306578265187e17,0.95263671875,0.0,1.0,1.0,0.0,0.0,0.0,klu,0.000494526,5.511537892743945e-10
1,rosser,16777216,4096,4096,3584,2.108580256482238e37,0.9970684051513672,0.0,1.0,1.0,0.0,0.0,0.0,klu,0.032650262,3.3295464163529687e-9
1,sampling,256,16,16,15,3.4851331092772896e16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,2.0519e-5,6.483702463810914e-14
1,sampling,65536,256,256,255,9.104723206214995e16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,splu,0.004147107,1.7562906684531754e-10
1,sampling,16777216,4096,4096,4095,1.450925886804848e17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.332636428,4.380777185453155e-6
1,shaw,256,16,16,16,5.3147320455357825e11,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,1.976e-5,4.163336342344337e-15
1,shaw,65536,256,256,20,3.0631051293947752e19,0.0,0.0,1.0,1.0,0.0,0.0,0.0,splu,0.004325086,3.116507052425277e-12
1,shaw,16777216,4096,4096,17,2.3118561109917366e21,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.527532826,9.297170810995681e-10
1,smallworld,256,16,16,16,19.140325826493655,0.7421875,0.0,1.0,1.0,0.0,0.0,0.0,klu,3.9749e-5,1.0658141036401503e-14
1,smallworld,65536,256,256,256,13429.714549030014,0.983612060546875,0.0,1.0,1.0,0.0,0.0,0.0,klu,0.000459316,7.687184222504584e-13
1,smallworld,16777216,4096,4096,4096,26230.557417783803,0.9989731311798096,0.0,1.0,1.0,0.0,0.0,0.0,splu,0.027064656,7.0938810381449e-12
1,spikes,256,16,16,12,8.18134508316423e17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,2.9829e-5,1.5687451337953462e-13
1,spikes,65536,256,256,24,8.38068746384199e19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,splu,0.004541644,1.6544898784331963e-10
1,spikes,16777216,4096,4096,38,1.4402093125411279e23,0.00045615434646606445,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.310576052,2.3023872017802205e-6
1,toeplitz,256,16,16,16,206.13271768430147,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,2.641e-5,7.105427357601002e-14
1,toeplitz,65536,256,256,256,46027.486370827195,0.0,0.0,1.0,1.0,0.0,0.0,0.0,splu,0.004163536,1.648004399612546e-9
1,toeplitz,16777216,4096,4096,4096,1.1664994494291898e7,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.23631392,5.372706800699234e-5
1,triw,256,16,16,16,204262.95718350925,0.46875,0.0,0.0,0.0,0.0,1.0,0.0,dgetrf,2.18e-5,0.0
1,triw,65536,256,256,255,4.593822419999271e19,0.498046875,0.0,0.0,0.0,0.0,1.0,0.0,klu,0.000935603,0.0
1,triw,16777216,4096,4096,4095,1.02102155501576e21,0.4998779296875,0.0,0.0,0.0,0.0,1.0,0.0,dgetrf,0.210440405,0.0
1,ursell,256,16,16,16,1.208352918230884e14,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,3.685e-5,1.4432899320127035e-15
1,ursell,65536,256,256,253,1.1981484330954973e14,0.0,0.0,1.0,1.0,0.0,0.0,0.0,splu,0.004219887,4.5574655160862676e-14
1,ursell,16777216,4096,4096,4082,5.702811555705552e13,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.254499386,3.3379965458379957e-12
1,vand,256,16,16,8,3.226869250585466e21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,2.992e-5,480.551841171713
1,wing,256,16,16,8,4.946325267669901e20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,2.523e-5,6.38378239159465e-15
1,wing,65536,256,256,8,7.42947311131584e21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,splu,0.004176786,1.5996648450311568e-12
1,wing,16777216,4096,4096,8,4.184082968445184e23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.219610392,6.864641077797273e-9
